51.1304902 17.0780325 Toruńska 73, 51-414 Wrocław
51.2305298 22.4829166 Aleja Kraśnicka 128, 20-718 Lublin
51.139788 23.454789 Lubelska 133A, 22-100 Chełm
51.251066 22.60002 Turystyczna 1, 20-207 Lublin
51.232139 22.614528 Wincentego Witosa 32, 20-315 Lublin
51.212113 22.645503 GG AUTO ul. Piasecka 18, Świdnik _, 21-040 Czynne: pn.- pt. 8.00 - 18.00, sob. 8.00-14.0
51.25466431 22.55277814 Al. Kompozytorów Polskich 1, 20-848 Lublin
51.639736 21.913061 Warszawska 59E, 08-500 Ryki
51.247345 22.500158 Wojciechowska 29, 20-704 Lublin
52.033978 23.068073 Warszawska 129, 21-500 Biała Podlaska
50.9279894 22.2498475 Przemysłowa 24, 23-200 Kraśnik
51.42613 21.948457 Dęblińska 1, 24-100 Puławy
51.2886155 22.2051635 Ignacego Paderewskiego 1, 24-140 Nałęczów
51.282566 22.570065 Aleja Spółdzielczości Pracy 86, 20-147 Lublin
51.282582 22.573622 Aleja Spółdzielczości Pracy 86, 20-147 Lublin
50.99475682 23.15252195 Polewana 6, 22-300 Krasnystaw
51.989108 22.7790111 Warszawska 36, 21-350 Międzyrzecz Podlaski
51.2144806 22.6890998 Aleja Lotników Polskich 58, 21-040 Świdnik
51.247042 22.549135 Grottgera 2, 20-029 Lublin
51.245032 22.54988 Lipowa 13, 20-020 Lublin
51.23207 22.59492 Łabędzia 2, 20-325 Lublin
51.2361569 22.599737 Chemiczna 5, 20-329 Lublin
50.530781 22.709314 Aleja Jana Pawła II 51, 23-400 Biłgoraj
51.19418673 22.58427435 Abramowicka 45, 20-067 Lublin
51.28757 22.216164 Stanisława Augusta Poniatowskiego 2, 24-150 Nałęczów
51.224465 22.612318 Droga Męczenników Majdanka 74A, 20-325 Lublin
52.041422 23.157843 ul. Brzeska 170A _, 21-500 Biała Podlaska
52.025019 23.123226 ul. Sidorska 2G _, 21-500 Biała Podlaska
50.92927933 22.24893379 Lubelska 139, 23-200 Kraśnik
51.23455429 22.49038887 Al. Kraśnicka 116A, 20-718 Lublin
51.24211121 22.54127884 Głęboka 32, 20-001 Lublin
51.26124747 22.56236951 Prof. A. Gębali 4, 20-093 Lublin
51.222167 22.4635 Konopnica 157F, 21-030 Konopnica
50.740436 23.25158 Lubelska 40, 22-400 Zamość
51.9304733 22.3768381 Konwiktorska 10 -, 21-400 Łuków
50.8983192 23.2588155 Kryniczki 120, 22-375 Izbica
51.212181 22.6501 Aleja 1000 Lecia 6A, 21-040 Świdnik
50.736972 23.248006 Lipowa 5, 22-400 Zamość
51.23605 22.50078 Konstantynów 1 -, 20-400 Lublin
51.219222 22.717944 aleja Armii Krajowej 24, 21-047 Świdnik
51.249948 22.57614 Unii Lubelskiej 2, 20-108 Lublin
51.149266 23.484363 Bieławin 2a, 22-100 Chełm
51.6175 15.31163 Księżnej Żaganny 21, 68-100 Żagań
51.9773016 15.48789997 Łężyca-Apartamentowa 1, 66-016 Zielona Góra
52.7267746 15.2185222 Aleje 11 Listopada 5, 66-400 Gorzów Wielkopolski
52.080628 15.6190191 Armii Krajowej 51A, 66-100 Sulechów
52.719385 15.252212 Koniawska 61 _, 66-400 Gorzów Wiekopolski
52.23678121 15.54078469 Sulechowska 6, 66-200 Świebodzin
52.74023 15.263137 VW BENEPOL Podmiejska 15A _, 66-403 Gorzów Wielkopolski
52.76232101 15.27195396 Popławskiego 72, 66-400 Gorzów Wielkopolski
51.96352627 14.72220903 Miodowa 28, 66-620 Gubin
51.9470584 14.7278519 Śląska 25, 66-620 Gubin
51.7514856 15.0088693 Graniczna 1, 68-320 Jasień
52.058845 15.084283 Chopina 8, 66-600 Krosno Odrzańskie
52.05639685 15.11295963 Wakacyjna 23, 66-600 Krosno Odrzańskie
51.83435665 15.7094284 Zielonogórska 89, 67-100 Nowa Sól
52.3483141 14.5679494 Wrocławska 9, 69-100 Słubice
51.8010172 16.313848 Konradowska 4, 67-400 Wschowa
51.615967 15.305736 E. Plater 6, 68-100 Żagań
51.63713902 15.13644629 Artylerzystów 4, 68-200 Żary
51.63522965 15.11936752 Katowicka 37, 68-200 Żary
51.9378002 15.5609584 os. Kaszubskie 1, 65-548 Zielona Góra
51.9767339 15.4863221 Iwestycyjna 1, 66-016 Zielona Góra
51.9565688 15.520336 Sulechowska 38, 65-119 Zielona Góra
51.9303284 15.480337 Zachodnia 65, 65-552 Zielona Góra
52.7316629 15.2251662 Bohaterów Warszawy 15, 66-400 Gorzów Wielkopolski
52.697541 15.232011 Kasprzaka 8, 66-400 Gorzów Wielkopolski
51.7780997 14.9633439 Budowlanych 2, 68-300 Lubsko
52.7229041 15.2294189 Budowlanych 77, 66-400 Gorzów Wielkopolski
52.760384 15.260378 Kombatantów 30, 66-400 Gorzów Wielkopolski
51.958223 15.485954 Dekoracyjna 3, 65-409 Zielona Góra
51.92592347 15.61637247 Nowy Kisielin - ul. Rozwojowa 7, 66-002 Zielona Góra
51.92577087 15.6164736 Nowy Kisielin - ul. Rozwojowa 7, 66-002 Zielona Góra
52.20831345 15.37355172 Golfowa 1, 66-213 Kalinowo
52.7345342 15.2239858 Chopina 45, 66-400 Gorzów Wielkopolski
52.7317575 15.2448027 Hejmanowskiej 4, 66-400 Gorzów Wielkopolski
52.7313251 15.2434468 Herberta 3, 66-400 Gorzów Wielkopolski
52.7396181 15.22396 Mościckiego 12, 66-400 Gorzów Wielkopolski
52.7645254 15.2643764 Obrońców Pokoju 42, 66-400 Gorzów Wielkopolski
52.7545094 15.248243 Paderewskiego 66, 66-400 Gorzów Wielkopolski
52.7282416 15.230507 Składowa 11, 66-400 Gorzów Wielkopolski
52.73079804 15.23457305 Strzelecka -, 66-400 Gorzów Wielkopolski
52.72518676 15.24526595 Targowa 10, 66-400 Gorzów Wielkopolski
52.7565932 15.25109 Witosa 66, 66-400 Gorzów Wielkopolski
52.58782621 15.47503706 Gorzowska 19A, 66-440 Skwierzyna
52.464222 14.863472 Grunwaldzka 46, 69-220 Ośno Lubuskie
52.4616417 15.1103109 Ignacego Daszyńskiego 57, 69-200 Sulęcin
52.7391016 15.2190871 Fredry 10, 66-400 Gorzów Wielkopolski
52.7514828 15.2255142 Dowbora-Muśnickiego 7, 66-400 Gorzów Wielkopolski
52.741934 15.255232 Pomorska 71, 66-400 Gorzów Wielkopolski
51.954378 15.478406 Zjednoczenia 118, 65-001 Zielona Góra
52.31322486 14.64146823 Świecko 29, 69-100 Świecko
51.807826 15.695905 Chałubińskiego 2, 67-100 Nowa Sól
51.937216 15.516544 Lwowska 2, 65-225 Zielona Góra
52.736739 15.199185 Myśliborska 33, 66-400 Gorzów Wielkopolski
52.25107 15.505375 Zachodnia 82, 66-200 Świebodzin
51.959656 15.539033 Kostrzyńska 5, 5, 65-127 Zielona Góra
52.7174009 15.2539109 Koniawska 11, 66-400 Gorzów Wielkopolski
51.9591442 15.5344798 Gorzowska 2, 65-127 Zielona Góra
52.78671 15.12053 Marwice Przy drodze S3, 66-432 Marwice
52.78677 15.1173 Marwice Przy drodze S3, 66-432 Marwice
52.138606 15.154097 Bytnica 160, 66-630 Bytnica
52.7387143 15.2072838 Niemcewicza 478/2, 66-400 Gorzów Wielkopolski
52.726861 15.243333 Przemysłowa 2, 66-400 Gorzów Wielkopolski
51.8791899 16.0689988 Nowy Rynek 23c, 67-410 Sława
51.89739411 15.56953085 Olimpijska 20, 66-004 Drzonków
52.7450676 15.15620613 Złotego Smoka 1, 66-400 Gorzów Wielkopolski
52.32503128 14.65295219 MOP Gnilec A2, 69-100 Gnilec
51.90542984 15.59025955 Ługowo 110, 66-004 Zielona Góra
52.32417679 14.65298653 MOP Sosna A2, 69-100 Sosna
52.26024628 15.53341675 Wojska Polskiego 8, 66-200 Świebodzin
52.955077 15.836691 Mierzęcin 1, 66-520 Dobiegniew
52.761905 15.253926 Plac Jana Pawła II 2341, 66-400 Gorzów Wielkopolski
52.760071 15.254127 Plac Jana Pawła II 415/3, 66-400 Gorzów Wielkopolski
52.318981 15.08881 Sulęcińska 17, 66-235 Torzym
52.34014828 14.84756514 Okrężna 17, 69-110 Rzepin
52.7417818 15.2763901 Rondo Sybiraków 40, 66-400 Gorzów Wielkopolski
51.52606878 15.22027576 Węzeł 18, 68-120 Iłowa
52.31366427 14.6415949 DK29 -, 69-100 Świecko
52.7392126 15.26886074 Podmiejska 20, 66-400 Gorzów Wielkopolski
51.95547381 15.47021661 Naftowa 3, 65-705 Zielona Góra
52.583257 15.02644 Skwierzyńska 46, 66-435 Krzeszyce
52.33854 14.61626 Osiedle Przemysłowe 14, 69-100 Słubice
52.26137 15.53389 Wojska Polskiego 10, 66-200 Świebodzin
52.32151035 15.08659576 Sulęcińska 14, 66-235 Torzym
51.63980759 15.12702426 Stanisława Moniuszki 34, 68-200 Żary
51.93925 15.55878 Szosa Kisielińska 22, 65-247 Zielona Góra
52.33795615 14.5901585 Transportowa 8, 69-100 Słubice
52.3377458 14.5906452 Transportowa 8, 69-100 Słubice
51.7873508 14.9772784 Traugutta 2, 68-300 Lubsko
52.760984 15.264196 ul. Armii Krajowej 2154/6, 66-400 Gorzów Wielkopolski
52.76106 15.234804 ul. Dekerta (parking przy SOR) 109/7, 66-400 Gorzów Wielkopolski
52.762807 15.236888 ul. Dekerta 2322, 66-400 Gorzów Wielkopolski
52.751145 15.226243 ul. Dowbora-Muśnickiego 258/8, 66-400 Gorzów Wielkopolski
52.754913 15.232079 ul. Kazimierza Wielkiego 317, 66-400 Gorzów Wielkopolski
52.751929 15.244112 ul. Piłsudskiego 2302, 66-400 Gorzów Wielkopolski
52.737809 15.203322 ul. Rejewskiego 1323, 66-400 Gorzów Wielkopolski
52.762737 15.264844 ul. Szarych Szeregów 2316, 66-400 Gorzów Wielkopolski
52.754489 15.24151 ul. Wróblewskiego 636/12, 66-400 Gorzów Wielkopolski
52.741333 15.253833 ul. Zamenhofa 2333, 66-400 Gorzów Wielkopolski
51.939684 15.513678 Podgórna 7, 65-057 Zielona Góra
51.95898 15.51758 Zdrojowa 2B, 65-142 Zielona Góra
51.56786779 15.59240386 Wiechlice 45b, 67-300 Wiechlice
52.725039 15.246823 Woskowa 1, 66-400 Gorzów Wielkopolski
52.33436713 15.29293742 Zamkowa 3, 66-220 Łagów
51.6127 15.173588 Armii Krajowej 39, 68-200 Żary
52.7532348 15.2148675 Żwirowa 5, 66-400 Gorzów Wielkopolski
54.357799 18.621408 Powstańców Warszawskich 45, 80-165 Gdańsk
51.9693468 18.7910344 abp. Jakuba Świnki -, 99-210 Uniejów
51.8860524 18.953601 Adama Mickiewicza 26, 99-200 Poddębice
51.704736 19.477528 Aleja Matek Polskich -, 90-001 Łódź
51.7345242 19.5831027 Aleja Ofiar Terroryzmu 11 Września 11, 92-410 Łódź
51.754358 19.45723 aleja Tadeusza Kościuszki 128, 90-451 Łódź
51.7462236 19.452584 aleje Politechniki 10, 90-924 Łódź
51.7343125 19.45267 aleje Politechniki 91, 93-590 Łódź
51.800645 19.425515 aleja Włókniarzy 91-348, 91-348 Łódź
52.253978 19.2000471 Pomarzany 10a, 99-340 Pomarzany
51.3919 19.405235 Dobrzelów 79A, 97-400 Dobrzelów
51.757431 19.42651 Unii Lubelskiej 2, 90-001 Łódź
51.714178 19.459601 Al. Władysława Bartoszewskiego 13, 93-341 Łódź
51.750585 19.509337 Niciarniana 51/53, 92-320 Łódź
52.78001 18.25958 Poznańska 100A, 88-100 Inowrocław
50.78146032 16.26854726 Ludowa 58, 58-304 Wałbrzych
51.80647 19.370192 Szczecińska 38A _, 91-222 Łódź
51.366062 19.368216 Kościuszki 9, 97-400 Bełchatów
52.230129 19.371213 Grunwaldzka 3, 99-300 Kutno
51.37106215 18.4267431 Wieruszowska 44, 98-360 Lututów
52.0576381 19.205978 Belwederska 1, 99-100 Łęczyca
51.71692825 19.47328254 Łazowskiego 44, 93-379 Łódź
51.7244111 19.4426971 Pabianicka 79, 93-486 Łódź
51.74300039 19.61012455 Rokicińska 366/368, 92-620 Łódź
51.7928373 19.40862634 Woronicza 5, 92-430 Łódź
51.7101333 19.4792625 Katarzynów 1, 99-400 Łowicz
51.4012077 19.673187 Dmowskiego 28B, 97-300 Piotrków Trybunalski
51.601615 18.95715 Długa 3, 98-220 Zduńska Wola
51.602293 21.942824 Przemysłowa 12b, 08-500 Ryki
52.06947177 19.48026828 Hangarowa 17, 70-767 Szczecin
51.623476 19.235043 Wrocławska 18A _, 95-082 Dobroń
51.771958 19.438299 Żeligowskiego 8/10 _, 90-753 Łódź
51.661264 19.357101 Grobelna 8a, 95-200 Piabianice
51.404868 19.660257 Aleja Generała Władysława Sikorskiego 13/17, 97-300 Piotrków Trybunalski
51.07065062 19.4381619 Reymonta 48, 97-500 Radomsko
51.30795456 18.36304922 Prusak 23, 98-420 Prusak
51.795776 19.505596 Brzezińska 17 _, 90-103 Łódź
51.7744679 19.4679327 Doktora Seweryna Sterlinga 27, 90-212 Łódź
51.75706 19.4429 Łąkowa 29 Parking zewnętrzny, 90-554 Łódź
51.764278 19.470389 Dowborczyków 18, 90-019 Łódź
51.7607444 19.470775 Dowborczyków 36, 90-001 Łódź
51.765472 19.469444 Dowborczyków 9, 90-019 Łódź
51.7796036 19.4447386 Drewnowska 58, 91-002 Łódź
51.779697 19.443892 Drewnowska 58, 91-002 Łódź
51.75768204 19.53507845 Beli Bartoka 74, 92-530 Łódź
52.07806778 19.19752312 Topola Królewska 67, 99-100 Topola Królewska
51.744592 19.454033 Franciszkańska 1/5, 91-431 Łódź
51.596944 18.725167 Wojska Polskiego 11, 98-200 Sieradz
51.759186 19.465127 Al. J. Piłsudskiego 15/23, 98-420 Łódź
51.353306 19.375717 Kolejowa 6, 97-400 Bełchatów
52.06947177 19.48026828 Bitwy pod Płowcami 54, 81-731 Sopot
51.892532 19.593571 Warszawska 1, 95-010 Stryków
52.278959 19.39442 Sójki 1, 99-300 Sójki
51.364775 19.38373 1 Maja 63, 97-400 Bełchatów
51.70107101 19.41304031 Pabianicka 255, 93-457 Łódź
51.22614 18.586372 Warszawska 8, 98-300 Wieluń
52.219238 19.462149 Kaszewy Kościelne 23A, 99-314 Kutno
51.900575 19.706463 IONITY MOP Nowostawy (dir. Poznan) A2, 95-061 Nowostawy
51.897673 19.706832 IONITY MOP Nowostawy (dir. Warsaw) A2, 95-061 Nowostawy
51.08204629 19.37518839 Portowa 14, 97-500 Radomsko
51.7655092 19.4599796 Juliana Tuwima 7, 90-010 Łódź
51.735848 19.479073 Jana Kilińskiego 296, 93-160 Łódź
51.752161 19.533388 Puszkina 50, 92-516 Łódź
51.749784 19.587817 Rokicińska 199, 92-620 Łódź
51.81935422 19.30148172 Plac Kościuszki 7, 95-070 Aleksandrów Łódzki
51.7623417 19.4083028 Konstantynowska 8, 94-303 Łódź
51.4618224 18.8324394 Krótka 3, 98-260 Burzenin
54.16353 15.59745 Dobrawy 1, 78-100 Kołobrzeg
51.8006866 19.4221772 Pojezierska 93, 90-001 Łódź
51.37089 19.3729051 Sienkiewicza 42, 97-400 Bełchatów
51.7231927 19.441308 Pabianicka 116, 93-486 Łódź
51.7877368 19.3879075 Traktorowa 21, 91-116 Łódź
51.76675431 19.44725457 ul. Żeromskiego 48-50, 90-626 Łódź
51.592988 18.7239932 Łokietka 2, 98-200 Sieradz
53.40830366 14.69867701 Goleniowska 64, 70-830 Szczecin
51.757508 19.444989 Łąkowa 42, 90-050 Łódź
51.76358816 19.4994554 al, Piłsudskiego 100, 92-318 Łódź
51.761171 19.486716 al. marsz. Józefa Piłsudskiego 85, 92-332 Łódź
51.5943891 18.9610838 Łódzka 27, 98-220 Zduńska Wola
51.0839793 19.3794912 Łódzka 2A -, 97-500 Radomsko
51.79398 19.510694 Brzezińska 27/29, 92-103 Łódź
53.1460219 23.081051 al. Jana Pawła II 92, 15-704 Białystok
51.7620557 19.5364196 Rokicińska 78, 92-302 Łódź
51.2201296 19.2496523 Milenijna 13a, 97-410 Żłobnica
51.762823 19.48528 Dr. Stefana Kopcińskiego 62, 90-032 Łódź
51.357443 18.522718 MOP Chojny S8, 98-360 Lututów
51.527129 18.697421 MOP Dąbrowa Wielka S8, 98-200 Dąbrowa Wielka
52.006854 19.544799 Autostrada A1 1, 95-015 Głowno
52.006185 19.54292 Autostrada A1 1, 95-015 Głowno
51.634377 19.437799 MOP I GUZEW PN 1 dz. nr 143, 144/5, 95-030 Rzgów
52.035628 18.878598 Autostrada Wolności A2 1, 99-140 Kozanki Wielkie
53.799582 19.7911073 Miałki szlak 4 S7, 14-140 Majdany Wielkie
52.034104 18.877432 Autostrada Wolności A2 1, 99-140 Zaborów
51.764749 19.431252 6 Sierpnia 90-001, 90-001 Łódź
50.57436029 19.31736535 Pułaskiego 6, 42-300 Myszków
51.684852 19.477148 Łódzka 40, 95-030 Rzgów
51.728328 19.489944 Niższa -, 93-258 Łódź
51.802919 19.448719 Ul. E. Orzeszkowej 31/35, 91-479 Łódź
51.92730713 20.46288872 Zawady 45A, 96-111 Kowiesy
51.75208664 19.53511238 Przybyszewskiego 327, 92-423 Łódź
51.79597473 19.50954247 Brzezińska 25, 91-041 Łódź
51.74022675 19.42092514 Obywatelska 181B, 94-104 Łódź
51.75810623 19.55469322 Rokicińska 140, 92-412 Łódź
51.78236008 19.48345184 Aleja Grzegorza Palki 7, 91-725 Łódź
51.79039764 19.41962624 Lutomierska 143, 91-041 Łódź
51.57379532 18.93542862 Paprotnia 23a, 98-161 Paprotnia
51.70163727 19.60411072 Giemzów 59, 95-006 Wiśniowa Góra
51.70380783 19.60361099 Kamieńca Podolskiego 10, 93-645 Wiśniowa Góra
51.75094223 20.24302864 Katowicka 3, 96-200 Rawa Mazowiecka
51.718704 19.436295 Pabianicka 119/131, 93-490 Łódź
51.733203 19.455614 Pabianicka 56, 93-513 Łódź
52.2311703 19.36107163 Plac Wolności 28, 99-300 Kutno
51.754596 19.572788 ul. Rokicińska 164/166 _, 92-412 Łódź
51.7598002 19.457113 Piotrkowska 157a, 90-440 Łódź
51.757778 19.459 Piotrkowska 172/180, 90-368 Łódź
51.761214 19.476094 Plac Zwycięstwa -, 90-001 Łódź
51.78001308 19.48300922 Pomorska 106A, 91-402 Łódź
51.702432 19.414165 Pabianicka 245, 93-457 Łódź
51.083795 19.379472 Portowa 8 12, 97-500 Radomsko
51.887362 19.384299 Sadowa 4, 95-100 Lućmierz
51.70839974 19.48773838 Kolumny 1, 93-610 Łódź
51.70844693 19.48774902 Kolumny 1, 93-610 Łódź
51.75458086 19.57318519 Rokicińska 164, 92-412 Łódź
51.75473431 19.57215543 Rokicińska 164, 92-412 Łódź
51.4608848 19.7814851 Proszenie 1B, 97-320 Wolbórz
51.647276 19.487228 Żeromskiego 8, 95-030 Rzgów
51.809714 19.372156 Ratajska 57, 91-231 Łódź
53.849022 20.965401 Biskupiec-Kolonia Trzecia 21, 11-300 Biskupiec-Kolonia Trzecia
51.6048831 18.8493936 Stawiszcze 6, 98-200 Grabowiec
51.44138848 19.67979097 Cała 45E, 97-300 Piotrków Trybunalski
51.794684 19.591891 Byszewska 3A, 92-701 Łódź
51.414958 19.676769 Wojska Polskiego 102 _, 97-300 Piotrków Trybunalski
51.723629 19.482672 Rzgowska 142/146 _, 93-311 Łódź
51.762725 19.5405639 Służbowa 2, 92-305 Łódź
51.7286443 19.39382316 Zamiejska 1, 91-001 Łódź
51.881793 19.583552 DK14 25, 95-010 Stryków
51.408216 19.646485 aleja Generała Władysława Sikorskiego 52, 97-300 Piotrków Trybunalski
51.686056 18.985583 Łaska 7, 98-240 Szadek
51.985585 19.910367 Kościelna 9, 99-420 Łyszkowice
51.7652169 19.5117157 aleja Piłsudskiego 138, 92-230 Łódź
51.792825 19.488925 Strykowska 11, 91-726 Łódź
51.5056215 19.8879239 Studzianki 29a, 97-320 Wolbórz
51.7585694 19.5262173 Św. Brata Alberta Chmielowskiego -, 90-001 Łódź
51.762371 19.491686 al. marsz. Józefa Piłsudskiego 86, 92-202 Łódź
51.70258304 19.65956554 Rokicińska 45, 95-006 Bukowiec
51.5306123 20.0056503 plac Tadeusza Kościuszki 11, 97-200 Tomaszów Mazowiecki
51.8769509 19.5341215 Kiełmina 78, 95-010 Stryków
51.8826188 19.6110045 ul. Cesarka 2, 95-010 Stryków
53.61069397 22.06047457 Plac Adama Mickiewicza 25, 12-230 Biała Piska
51.6115536 19.2157414 Wakacyjna 11, 98-100 Łask
51.759781 19.453992 Wólczańska 112, 90-057 Łódź
51.7531201 19.4561857 Wólczańska 180, 90-530 Łódź
51.773036 19.451153 Wólczańska 9, 90-720 Łódź
51.77868736 19.45247196 Ogrodowa 8, 91-062 Łódź
51.7411028 19.5658028 Zakładowa 56, 92-402 Łódź
51.781358 19.453784 Zgierska 2, 91-002 Łódź
49.4871388 20.6514832 --- 302, 33-343 Rytro
49.981211 19.910658 Góra Libertowska 2, 32-031 Libertów
50.35746 20.04601 Racławicka 45B, 32-200 Miechów
49.9989703 19.4123998 aleja 3 Maja 2, 32-640 Zator
50.08640158 19.97573015 Aleja Generała Tadeusza Bora-Komorowskiego 25, 31-476 Kraków
50.085795 19.975512 Aleja Generała Tadeusza Bora-Komorowskiego 25, 31-476 Kraków
49.3979 20.24555 DŁUGA 138 ANKAR GARNITURY, 34-442 ŁAPSZE NIŻNE
49.294355 19.950042 Zaruskiego 5 _, 34-500 Zakopane
50.008227 21.002192 Gumniska 34 _, 33-100 Tarnów
49.995213 20.038419 Krakowska 33 _, 32-020 Wieliczka
49.33334117 20.09646554 Kościuszki 183, 34-530 Bukowina Tatrzańska
49.60294852 20.72221473 Wiśniowieckiego 123, 33-300 Nowy Sącz
49.46552718 20.02449278 Szaflarska 170, 34-400 Nowy Targ
50.13641 19.39901 Henryka 54, 32-500 Chrzanów
50.144573 19.39697 Śląska 30D, 32-500 Chrzanów
50.27844 19.58017 Kolberga 1, 32-300 Olkusz
50.24429383 20.08119595 Żeromskiego 4, 32-090 Słomniki
50.12208714 20.6211468 Krakowska 134, 32-820 Szczurowa
50.0119302 20.92427008 Czerwonych Klonów 9, 33-100 Tarnów
50.028978 19.912564 Stefana Grota-Roweckiego 33, 30-384 Kraków
50.085999 20.073464 Blokowa 3, 31-752 Kraków
49.7181359 20.9594464 Zielona -, 38-325 Bobowa
49.96974 20.433222 Pułaskiego Kazimierza gen. 1/4 Plac, 32-700 Bochnia
50.0205 19.824611 Bolesława Śmiałego 60, 30-398 Kraków
50.039417 19.219333 Bulwary 2, 32-600 Oświęcim
50.063609 20.007557 Centralna 53, 31-586 Kraków
49.285353 19.971807 Tytusa Chałubińskiego 42a, 34-500 Zakopane
50.142427 19.414569 Trzebińska 40, 32-500 Chrzanów
49.963012 19.817964 Radziszowska 7, 32-050 Skawina
49.352115 19.823004 Chochołów 400, 34-513 Chochołów
50.0629893 19.968996 Cystersów 21d, 31-553 Kraków
49.421244 20.925936 Czarny Potok 28, 33-380 Krynica-Zdrój
49.4075574 20.9322736 Czarny Potok 65, 33-380 Krynica-Zdrój
50.064944 19.981583 Dąbska 5, 31-572 Kraków
49.887205 20.080267 Zarabie 6J, 32-410 Dobczyce
49.728618 20.402062 Skrudlak 3, 34-600 Limanowa
50.110029 19.84772 profesora Adama Rożańskiego 32, 32-085 Modlniczka
50.057438 19.912279 Focha 37, 30-119 Kraków
50.12375605 19.87023174 Częstochowska 62, 32-085 Modlnica
50.091643 19.896693 Stawowa 61, 31-346 Kraków
50.005363 19.948685 Stanisława Stojałowskiego 12, 32-020 Kraków
49.656649 21.16034 Ogrodowa 6, 38-300 Gorlice
50.016862 21.000374 Słoneczna 29, 33-100 Tarnów
50.053736 19.955881 Podgórska 34, 31-536 Kraków
50.054545 19.955424 Podgórska 34, 31-536 Kraków
50.067861 19.947389 Pawia 5, 31-154 Kraków
49.978342 20.426879 Partyzantów 2a, 32-700 Bochnia
49.5868889 20.67357438 Węgierska 168, 33-300 Nowy Sącz
50.071549 19.895924 Armii Krajowej 18 _, 30-150 Kraków
50.030278 21.003056 Nowodąbrowska 127, 33-100 Tarnów
49.610957 19.953237 ul. Piłsudskiego dz. nr 3798/5 18, 34-700 Rabka Zdrój
49.9803402 19.9101704 Góra Libertowska 10, 30-444 Libertów
50.056389 19.962167 Grzegórzecka 69, 31-559 Kraków
50.1061138 19.8410341 Handlowców 12, 32-089 Modlniczka
50.1055427 19.8439304 Handlowców 2, 32-085 Modlniczka
49.2975876 19.9568662 Henryka Sienkiewicza 6a, 34-500 Zakopane
49.9600613 20.5965001 Adama Mickiewicza 66 -, 32-800 Brzesko
49.97320802 19.82304738 Kublińskiego 4, 32-050 Skawina
49.379917 20.11263 Środkowa 63, 34-405 Białka Tatrzańska
50.070452 19.89684 Armii Krajowej 11, 30-150 Kraków
49.96326 20.598279 Pomianowska 2B, 32-800 Brzesko
50.0815664 20.0479303 Bulwarowa 33, 31-751 Kraków
49.994405 20.033681 Krakowska 14c, 32-020 Wieliczka
49.3868 20.10652 Środkowa 167, 34-405 Białka Tatrzańska
49.909169 20.603822 Uszew 502, 32-865 Uszew
50.108521 19.837953 Kasztanowa 25, 32-085 Modlniczka
49.995554 20.983574 Dojazd 16A, 33-100 Tarnów
50.06638342 19.96829301 Mogilska 53, 31-516 Kraków
50.0788045 20.1344576 Igołomska 28m, 31-983 Kraków
50.089289 19.8974552 Josepha Conrada 66, 31-357 Kraków
49.988343 20.041313 Kościuszki 30, 32-020 Wieliczka
49.989076 19.834399 Stanisława Chmielka 10, 32-050 Skawina
49.4793702 20.0236281 Jana Kilińskiego 20, 34-400 Nowy Targ
49.46520256 20.06067038 Jana Pawła II 120, 34-400 Nowy Targ
50.0899512 19.9056472 Josepha Conrada 10, 31-357 Kraków
50.14133075 19.40340049 Sądowa 4B, 32-500 Chrzanów
49.45975 20.315278 Kamieniarska 30A, 34-440 Kluszkowce
50.0678116 19.8020124 Kapitana Mieczysława Medweckiego 31, 32-083 Balice
50.0840147 19.9356727 Bratysławska 4, 31-201 Kraków
49.9768101 19.83342222 KRAKOWSKA 12, 32-050 SKAWINA
49.870192 19.225371 Tadeusza Kościuszki 106, 32-650 Kęty
49.980818 19.909194 Góra Libertowska 8, 30-444 Góra Libertowska
50.091189 19.922382 Opolska 60A, 31-355 Kraków
50.014152 21.011882 Lwowska 116, 33-100 Tarnów
49.474417 20.016528 Kolejowa 165, 34-400 Nowy Targ
50.071175 19.898114 Kołowa 8, 30-134 Kraków
49.985488 20.052919 E. Dembowskiego 22, 32-020 Wieliczka
50.071511 19.799616 Kpt. Mieczysława Medweckiego 1, 32-083 Balice
50.14721714 19.38193284 Śląska 64, 32-500 Chrzanów
49.383917 20.233389 Leśna 46, 34-442 Łapsze Niżne
50.02875 19.198278 Leszczyńskiej 16, 32-600 Oświęcim
50.10653 19.33314 Rouvroy 1, 32-590 Libiąż
50.1027625 19.9289584 Glogera 26, 31-222 Kraków
50.1262862 19.8688706 Polna 1, 32-085 Modlnica
50.064865 19.950866 Lubicz 23, 31-503 Kraków
50.015959 19.891244 Lubostroń dz 111/44, 30-383 Kraków
49.6239931 20.7065807 Lwowska 80, 33-300 Nowy Sącz
50.06375 20.00095 Aleja Pokoju 67, 31-580 Kraków
50.064477 19.998967 aleja Pokoju 67, 31-580 Kraków
50.0891667 19.8947222 Jasnogórska 2, 31-358 Kraków
50.0099541 19.9291349 Zakopiańska 70A, 30-418 Kraków
50.0350598 19.8193978 Mirowska 203, 30-244 Kraków
49.8531863 19.5096716 Zakopiańska 64, 34-100 Jaroszowice
50.047459 19.9297859 Monte Cassino 2, 30-337 Kraków
50.287353 19.538232 Wspólna 1, 32-300 Olkusz
50.287908 19.538178 Wspólna 1A, 32-300 Olkusz
49.849977 19.347296 Słowackiego 2E, 34-120 Andrychów
